13	NM_ERGaltA	chr21	-	39751948	39765563	39755324	39765563	5	39751948,39762916,39763580,39764297,39764563,	39755845,39762964,39763637,39764366,39765563,	0	ERG	cmpl	cmpl	1,1,1,1,1,
13	NM_ERGaltB	chr21	-	39751948	39765663	39755324	39765663	5	39751948,39762916,39763580,39764297,39764663,	39755845,39762964,39763637,39764366,39765663,	0	ERG	cmpl	cmpl	1,1,1,1,1,
13	NM_ERGaltC	chr21	-	39751948	39768355	39755324	39768355	5	39751948,39762916,39763580,39764297,39767355,	39755845,39762964,39763637,39764366,39768355,	0	ERG	cmpl	cmpl	1,1,1,1,1,
13	NM_ERGaltD	chr21	-	39751948	39768355	39755324	39768355	5	39751948,39762916,39763580,39764297,39770007,	39755845,39762964,39763637,39764366,39771007,	0	ERG	cmpl	cmpl	1,1,1,1,1,
121	Crypt3pA	chr7	+	50344311	50600000	50358657	50600000	1	50344311,50358643,50367233,50487521,	50344518,50358697,50367353,50600000,	4	IKZF1	cmpl	cmpl	-1,0,1,1,
121	Crypt3pB	chr7	+	50344311	50600000	50358657	50600000	1	50344311,50358643,50367233,50492503,	50344518,50358697,50367353,50600000,	4	IKZF1	cmpl	cmpl	-1,0,1,1,
121	Crypt3pC	chr7	+	50344311	50600000	50358657	50600000	1	50344311,50358643,50367233,50498121,	50344518,50358697,50367353,50600000,	4	IKZF1	cmpl	cmpl	-1,0,1,1,
121	Crypt3pD	chr7	+	50344311	50600000	50358657	50600000	1	50344311,50358643,50367233,50498138,	50344518,50358697,50367353,50600000,	4	IKZF1	cmpl	cmpl	-1,0,1,1,
121	Crypt3pE	chr7	+	50344311	50600000	50358657	50600000	1	50344311,50358643,50367233,50505815,	50344518,50358697,50367353,50600000,	4	IKZF1	cmpl	cmpl	-1,0,1,1,
121	Crypt3pF	chr7	+	50344311	50600000	50358657	50600000	1	50344311,50358643,50367233,50505861,	50344518,50358697,50367353,50600000,	4	IKZF1	cmpl	cmpl	-1,0,1,1,
121	Crypt3pG	chr7	+	50344311	50600000	50358657	50600000	1	50344311,50358643,50367233,50523046,	50344518,50358697,50367353,50600000,	4	IKZF1	cmpl	cmpl	-1,0,1,1,
121	Crypt3pH	chr7	+	50344311	50600000	50358657	50600000	1	50344311,50358643,50367233,50525920,	50344518,50358697,50367353,50600000,	4	IKZF1	cmpl	cmpl	-1,0,1,1,
121	Crypt3pI	chr7	+	50344311	50600000	50358657	50600000	1	50344311,50358643,50367233,50530949,	50344518,50358697,50367353,50600000,	4	IKZF1	cmpl	cmpl	-1,0,1,1,
121	Crypt3pJ	chr7	+	50344311	50600000	50358657	50600000	1	50344311,50358643,50367233,50549701,	50344518,50358697,50367353,50600000,	4	IKZF1	cmpl	cmpl	-1,0,1,1,
